Frame,X,Y,Z
328,0.91,3.45,-0.1
329,1.0,3.29,-0.12
330,0.86,3.33,-0.12
331,0.72,3.65,-0.11
332,1.21,3.67,-0.12
333,1.13,3.62,-0.11
334,0.9,3.53,-0.12
335,0.94,3.53,-0.12
336,0.8,3.62,-0.11
337,1.08,3.47,-0.12
338,0.62,3.41,-0.11
339,0.91,3.43,-0.13
340,0.84,3.43,-0.1
341,0.64,3.46,-0.11
342,1.06,3.43,-0.12
343,0.68,3.36,-0.11
344,0.93,3.29,-0.12
345,0.96,3.5,-0.1
346,1.78,3.18,-0.13
347,1.18,3.72,-0.11
348,1.74,3.15,-0.13
349,1.28,3.35,-0.1
350,1.62,3.22,-0.11
351,1.55,3.08,-0.09
352,1.55,2.59,-0.09
353,1.78,2.57,-0.09
354,1.57,2.82,-0.09
355,1.68,3.15,-0.08
356,2.53,2.83,-0.07
357,2.29,3.27,-0.08
358,2.79,3.04,-0.09
359,2.62,2.95,-0.09
360,2.5,2.86,-0.09
361,2.57,2.88,-0.09
362,2.63,2.64,-0.09
363,2.66,2.73,-0.09
364,3.38,2.42,-0.09
365,2.86,2.2,-0.08
366,3.07,2.4,-0.08
367,3.45,2.34,-0.08
368,3.33,2.18,-0.08
369,3.53,2.19,-0.08
370,3.8,2.4,-0.07
371,3.74,2.36,-0.09
372,3.89,2.31,-0.1
373,4.16,2.53,-0.08
374,3.61,2.41,-0.08
375,3.58,2.44,-0.09
376,3.7,2.55,-0.08
377,3.97,2.55,-0.08
378,3.74,2.54,-0.08
379,3.19,2.62,-0.07
380,3.27,2.64,-0.08
381,3.24,2.76,-0.07
382,2.86,2.78,-0.08
383,2.76,2.87,-0.07
384,2.9,2.74,-0.08
385,2.81,2.64,-0.08
386,2.89,2.69,-0.08
387,2.95,2.62,-0.07
388,2.99,2.65,-0.09
389,2.84,2.32,-0.08
390,3.08,2.66,-0.08
391,2.74,2.68,-0.08
392,2.92,2.61,-0.08
393,2.93,2.59,-0.09
394,2.91,2.62,-0.09
395,2.67,2.81,-0.09
396,2.52,2.82,-0.08
397,2.24,2.93,-0.08
398,2.01,2.86,-0.09
399,1.9,2.84,-0.09
400,2.5,3.07,-0.08
401,1.67,2.97,-0.07
402,2.03,3.02,-0.08
403,2.39,3.05,-0.08
404,2.29,2.88,-0.08
405,2.33,2.83,-0.08
406,2.65,2.78,-0.08
407,2.09,2.52,-0.08
408,2.42,2.99,-0.07
409,3.15,2.68,-0.07
410,3.12,2.7,-0.08
411,3.34,2.62,-0.07
412,3.2,2.77,-0.07
413,3.6,2.21,-0.08
414,3.78,2.29,-0.07
415,3.62,2.3,-0.08
416,2.85,2.65,-0.06
417,2.58,2.87,-0.06
418,2.73,2.87,-0.07
419,2.06,3.14,-0.08
420,2.72,2.91,-0.06
421,2.06,3.21,-0.05
422,1.82,2.89,-0.08
423,1.37,2.73,-0.06
424,1.88,2.73,-0.05
425,2.55,2.66,-0.07
426,2.89,2.69,-0.08
427,2.17,2.9,-0.08
428,2.22,2.78,-0.07
429,2.0,3.12,-0.07
430,1.63,3.08,-0.07
431,2.13,3.39,-0.07
432,1.84,3.3,-0.07
433,1.21,3.57,-0.08
434,1.76,3.6,-0.08
435,1.17,3.65,-0.08
436,1.14,3.69,-0.06
437,0.78,3.45,-0.08
438,0.69,4.52,-0.09
439,0.18,4.4,-0.09
440,0.57,4.5,-0.11
441,0.29,4.22,-0.1
442,0.42,4.91,-0.13
443,0.93,4.98,-0.14
444,-0.19,5.08,-0.13
445,0.5,5.03,-0.12
446,0.13,5.08,-0.12
447,0.57,4.29,-0.11
448,-1.34,3.95,-0.12
449,-0.96,4.52,-0.12
450,-0.89,4.29,-0.12
451,-1.51,4.26,-0.11
452,-1.22,3.96,-0.11
453,-1.52,4.04,-0.1
454,-1.38,3.89,-0.1
455,-1.88,3.86,-0.09
456,-1.68,4.08,-0.09
457,-2.2,3.75,-0.07
458,-1.54,3.95,-0.1
459,-2.17,3.71,-0.07
460,-1.6,4.22,-0.09
461,-2.06,3.61,-0.07
462,-1.7,3.91,-0.11
463,-2.07,3.88,-0.08
464,-1.7,4.0,-0.08
465,-1.5,3.52,-0.08
466,-1.35,3.76,-0.1
467,-1.21,4.04,-0.08
468,-1.5,3.67,-0.08
469,-1.23,3.45,-0.09
470,-0.94,4.19,-0.1
471,-1.32,3.74,-0.08
472,-1.26,3.95,-0.1
473,-1.19,3.74,-0.08
474,-0.78,3.9,-0.09
475,-0.77,3.78,-0.08
476,-1.06,3.86,-0.09
477,-1.14,3.55,-0.08
478,-0.33,3.72,-0.1
479,-0.84,3.42,-0.09
480,-0.7,3.56,-0.1
481,-0.96,3.54,-0.11
482,-0.88,3.56,-0.12
483,-0.56,3.43,-0.1
484,-0.9,3.76,-0.09
485,-0.35,3.49,-0.1
486,-0.82,3.67,-0.12
487,-0.47,3.81,-0.12
488,0.25,3.95,-0.1
489,0.1,4.18,-0.11
490,-0.36,4.01,-0.1
491,-0.02,4.19,-0.13
492,0.18,3.98,-0.12
493,0.31,3.99,-0.12
494,0.56,4.19,-0.12
495,0.53,4.25,-0.14
496,0.62,4.01,-0.13
497,0.3,4.08,-0.13
498,0.12,3.92,-0.12
499,0.34,3.94,-0.15
500,0.67,4.13,-0.13
501,0.54,4.04,-0.12
502,0.3,4.0,-0.14
503,0.97,3.96,-0.16
504,1.29,3.95,-0.13
505,1.25,3.52,-0.13
506,1.02,3.14,-0.13
507,1.02,3.41,-0.13
508,1.47,3.48,-0.13
509,1.44,3.68,-0.14
510,0.92,3.22,-0.16
511,1.6,3.12,-0.15
512,2.32,3.6,-0.16
513,2.69,3.21,-0.15
514,2.71,3.15,-0.15
515,3.01,3.54,-0.12
516,3.29,3.71,-0.15
517,3.43,3.14,-0.13
518,3.22,3.71,-0.15
519,3.33,3.36,-0.14
520,3.54,4.01,-0.15
521,3.48,3.25,-0.16
522,3.58,3.49,-0.15
523,3.35,3.38,-0.14
524,3.58,3.08,-0.15
525,3.8,2.85,-0.15
526,4.16,3.01,-0.14
527,3.26,3.18,-0.16
528,4.03,3.37,-0.15
529,3.68,3.57,-0.14
530,4.28,3.78,-0.14
531,4.22,3.63,-0.14
532,4.35,3.7,-0.13
533,3.99,3.94,-0.11
534,4.13,4.24,-0.12
535,4.29,4.4,-0.12
536,3.57,4.69,-0.1
537,4.21,4.31,-0.13
538,4.4,4.25,-0.12
539,5.9,4.31,-0.14
540,6.44,4.84,-0.12
541,6.91,4.58,-0.11
542,7.48,4.92,-0.08
543,7.54,5.1,-0.09
544,6.69,5.21,-0.08
545,8.38,5.15,-0.09
546,7.73,5.67,-0.07
547,8.31,5.25,-0.06
548,8.24,5.49,-0.06
549,8.2,5.65,-0.06
550,8.31,5.64,-0.08
551,8.53,5.75,-0.06
552,8.21,5.67,-0.05
553,8.73,5.56,-0.07
554,8.19,5.08,-0.07
555,7.92,5.2,-0.07
556,8.14,5.25,-0.08
557,7.7,5.21,-0.08
558,7.36,5.05,-0.07
559,7.41,5.17,-0.07
560,7.22,4.71,-0.07
561,7.35,4.95,-0.07
562,6.97,4.92,-0.08
563,6.89,5.02,-0.08
564,6.85,4.72,-0.08
565,6.96,4.64,-0.09
566,7.01,4.46,-0.08
567,6.83,4.52,-0.11
568,6.74,4.59,-0.08
569,6.28,4.62,-0.08
570,6.41,4.59,-0.09
571,6.3,4.65,-0.09
572,6.2,4.46,-0.09
573,6.2,4.41,-0.08
574,6.08,4.23,-0.1
575,7.28,4.13,-0.07
576,6.46,4.12,-0.09
577,7.22,4.36,-0.08
578,6.75,4.2,-0.08
579,6.5,4.02,-0.07
580,7.41,4.08,-0.07
581,6.42,4.14,-0.09
582,6.93,4.24,-0.08
583,6.06,3.68,-0.08
584,6.32,3.82,-0.09
585,6.34,3.47,-0.07
586,6.3,3.74,-0.08
587,7.1,3.89,-0.08
588,6.98,3.61,-0.08
589,6.39,3.51,-0.06
590,7.15,3.38,-0.07
591,6.76,3.43,-0.05
592,7.18,3.49,-0.07
593,7.13,3.38,-0.06
594,6.46,3.52,-0.06
595,6.75,3.42,-0.07
596,6.5,3.4,-0.08
597,6.96,3.55,-0.07
598,6.98,3.62,-0.05
599,7.02,3.69,-0.06
600,6.82,3.55,-0.07
601,6.88,3.9,-0.08
602,6.92,4.17,-0.07
603,6.04,3.97,-0.06
604,6.14,4.32,-0.08
605,6.61,4.43,-0.1
606,5.12,4.01,-0.1
607,4.34,3.77,-0.12
608,2.71,3.74,-0.13
609,1.86,3.43,-0.1
610,1.76,3.42,-0.1
611,2.35,3.67,-0.11
612,1.67,4.02,-0.08
613,1.76,3.84,-0.08
614,2.34,3.61,-0.1
615,2.74,3.99,-0.09
616,1.94,4.69,-0.11
617,1.38,4.7,-0.15
618,1.46,4.76,-0.11
619,1.37,4.84,-0.11
620,0.99,4.55,-0.11
621,1.63,4.89,-0.11
622,1.32,4.89,-0.1
623,1.61,4.89,-0.13
624,1.66,5.01,-0.13
625,1.63,4.79,-0.11
626,0.9,5.03,-0.14
627,0.75,4.89,-0.16
628,0.84,4.56,-0.15
629,0.63,4.85,-0.15
630,0.78,4.91,-0.14
631,0.98,5.32,-0.14
632,0.35,5.04,-0.15
633,0.61,5.27,-0.13
634,0.53,5.67,-0.14
635,0.64,5.39,-0.15
636,0.17,5.45,-0.16
637,0.43,5.5,-0.16
638,0.04,5.85,-0.18
639,-0.35,5.49,-0.18
640,-0.08,6.19,-0.14
641,-0.06,6.0,-0.16
642,-0.37,6.03,-0.18
643,-0.39,5.96,-0.18
644,-0.99,5.57,-0.17
645,-1.3,5.01,-0.18
646,-0.62,4.83,-0.16
647,-0.39,5.02,-0.15
648,-0.91,4.72,-0.14
649,-1.08,4.25,-0.13
650,-1.12,4.31,-0.13
651,-1.5,4.14,-0.12
652,-1.03,4.3,-0.11
653,-1.48,3.9,-0.09
654,-1.64,4.0,-0.09
655,-1.45,3.95,-0.1
656,-1.41,3.62,-0.1
657,-1.44,3.59,-0.09
658,-1.82,3.6,-0.08
659,-1.32,3.39,-0.08
660,-1.16,3.33,-0.09
661,-1.04,3.39,-0.08
662,-1.5,3.17,-0.07
663,-2.11,2.77,-0.08
664,-1.47,2.76,-0.08
665,-1.73,2.55,-0.08
666,-1.61,2.62,-0.08
667,-1.32,2.73,-0.08
668,-1.19,3.09,-0.08
669,-1.88,2.89,-0.07
670,-1.26,2.88,-0.08
671,-1.35,2.73,-0.08
672,-1.18,2.71,-0.07
673,-1.38,3.23,-0.08
674,-1.55,3.06,-0.08
675,-1.52,3.07,-0.08
676,-1.75,3.15,-0.09
677,-1.8,3.26,-0.09
678,-1.68,3.28,-0.09
679,-1.7,3.16,-0.09
680,-1.48,3.53,-0.09
681,-1.28,3.45,-0.1
682,-1.46,3.62,-0.1
683,-0.95,3.81,-0.11
684,-1.16,3.68,-0.1
685,-1.45,3.72,-0.12
686,-1.33,3.61,-0.11
687,-1.52,3.71,-0.11
688,-1.14,3.78,-0.11
689,-1.4,3.74,-0.11
690,-1.36,3.88,-0.1
691,-1.62,3.56,-0.11
692,-1.18,3.84,-0.1
693,-1.74,3.63,-0.11
694,-1.48,3.68,-0.1
695,-1.91,3.62,-0.09
696,-1.56,3.4,-0.08
697,-1.45,3.72,-0.08
698,-1.91,3.51,-0.08
699,-1.55,3.55,-0.08
700,-1.96,3.36,-0.08
701,-1.59,3.55,-0.07
702,-2.01,3.49,-0.08
703,-1.55,3.55,-0.07
704,-2.01,3.51,-0.08
705,-1.88,3.56,-0.08
706,-1.91,3.52,-0.08
707,-1.84,3.45,-0.07
708,-1.47,3.62,-0.08
709,-1.93,3.38,-0.09
710,-1.0,3.66,-0.09
711,-1.51,3.56,-0.1
712,-1.34,3.63,-0.08
713,-1.67,3.38,-0.1
714,-1.15,3.79,-0.08
715,-1.39,3.94,-0.11
716,-1.6,3.83,-0.12
717,-1.68,3.82,-0.12
718,-1.63,3.9,-0.12
719,-1.56,3.94,-0.11
720,-1.7,3.95,-0.11
721,-1.59,4.06,-0.1
722,-1.59,3.94,-0.12
723,-1.35,4.07,-0.11
724,-1.71,3.78,-0.12
725,-1.56,3.99,-0.11
726,-1.87,3.92,-0.13
727,-1.59,3.99,-0.12
728,-0.88,4.12,-0.11
729,-1.11,4.08,-0.13
730,-0.81,4.41,-0.11
731,-1.12,4.13,-0.12
732,-0.9,4.16,-0.11
733,-1.34,3.96,-0.13
734,-0.95,4.05,-0.12
735,-1.1,4.12,-0.13
736,-1.21,4.3,-0.1
737,-1.04,3.99,-0.12
738,-0.83,4.07,-0.11
739,-0.95,3.88,-0.13
740,-0.78,4.27,-0.13
741,-1.03,4.3,-0.12
742,-0.94,4.54,-0.13
743,-0.7,4.3,-0.13
744,-0.82,4.55,-0.12
745,-0.04,4.51,-0.12
746,-0.61,4.33,-0.12
747,-0.7,4.26,-0.12
748,-1.02,4.19,-0.11
749,-0.74,4.06,-0.12
750,-0.78,4.18,-0.13
751,-0.85,4.23,-0.13
752,-0.91,4.14,-0.14
753,-0.64,4.22,-0.13
754,-0.69,4.33,-0.14
755,-0.36,4.28,-0.14
756,-0.39,4.35,-0.14
757,-0.42,4.6,-0.12
758,-0.31,4.53,-0.12
759,-0.53,4.33,-0.13
760,-1.01,4.37,-0.13
761,-0.98,4.33,-0.12
762,-0.6,4.41,-0.11
763,-0.98,4.38,-0.12
764,-0.6,4.22,-0.12
765,-0.88,4.28,-0.1
766,-0.9,4.21,-0.12
767,-0.95,4.31,-0.12
768,-0.09,4.86,-0.12
769,0.11,5.11,-0.14
770,-0.15,5.2,-0.14
771,-0.6,5.2,-0.15
772,-0.28,5.14,-0.15
773,-0.1,5.39,-0.14
774,-0.15,5.13,-0.14
775,-0.31,5.18,-0.14
776,-0.08,5.19,-0.13
777,-0.31,5.51,-0.15
778,-0.39,5.29,-0.15
779,-0.69,5.24,-0.14
780,-0.52,5.12,-0.14
781,-0.47,5.36,-0.15
782,-0.04,5.42,-0.14
783,-0.75,5.16,-0.13
784,-0.17,5.57,-0.14
785,-1.04,5.37,-0.15
786,-0.97,5.24,-0.13
787,0.17,5.1,-0.13
788,-0.23,5.11,-0.14
789,-0.23,5.52,-0.15
790,-0.48,5.35,-0.15
791,-0.24,5.23,-0.15
792,-0.17,4.66,-0.14
793,-0.29,4.69,-0.12
794,-0.13,4.83,-0.12
795,-0.36,4.97,-0.13
796,-0.59,5.05,-0.13
797,-0.58,5.12,-0.13
798,-0.49,5.19,-0.12
799,-0.78,5.03,-0.13
800,-0.57,5.05,-0.13
801,-0.49,4.98,-0.13
802,-0.35,5.0,-0.13
803,-0.51,5.02,-0.12
804,-0.77,4.83,-0.13
805,-0.64,4.89,-0.13
806,-1.0,5.01,-0.11
807,-0.73,4.86,-0.14
808,-0.6,4.9,-0.13
809,-0.83,4.51,-0.11
810,-1.6,3.77,-0.1
811,-1.29,3.82,-0.11
812,-1.03,3.77,-0.12
813,-0.92,4.08,-0.1
814,-1.31,4.01,-0.11
815,-0.98,3.79,-0.12
816,-0.67,4.09,-0.11
817,-0.49,3.78,-0.11
818,-0.79,3.75,-0.11
819,-0.69,3.71,-0.12
820,-0.12,3.77,-0.11
821,-0.05,3.64,-0.13
822,-0.2,3.16,-0.13
823,0.04,3.31,-0.1
824,0.28,3.2,-0.1
825,0.73,3.14,-0.08
826,0.41,3.02,-0.1
827,0.3,2.87,-0.09
828,-0.37,3.07,-0.1
829,0.37,2.92,-0.11
830,0.84,3.23,-0.1
831,0.2,3.03,-0.09
832,0.55,3.31,-0.11
833,0.43,3.06,-0.1
834,-0.05,3.37,-0.09
835,-0.06,2.9,-0.11
836,-0.79,3.25,-0.07
837,-2.22,2.86,-0.07
838,-1.85,2.92,-0.05
839,-3.15,2.82,-0.04
840,-2.91,2.82,-0.05
841,-3.02,3.08,-0.04
842,-2.71,3.01,-0.04
843,-2.45,3.16,-0.04
844,-2.7,3.22,-0.04
845,-2.55,3.23,-0.04
846,-2.39,3.22,-0.04
847,-3.27,3.23,-0.03
848,-3.12,3.09,-0.05
849,-2.99,3.51,-0.05
850,-2.73,3.37,-0.05
851,-2.56,4.07,-0.06
852,-2.47,3.74,-0.05
853,-2.64,4.06,-0.07
